Ticker,Exchange
AAPL,NASDAQ
MSFT,NASDAQ
AMZN,NASDAQ
GOOGL,NASDAQ
META,NASDAQ
TSLA,NASDAQ
NVDA,NASDAQ
BRK.B,NYSE
JPM,NYSE
JNJ,NYSE
V,NYSE
WMT,NYSE
PG,NYSE
MA,NYSE
UNH,NYSE
DIS,NYSE
HD,NYSE
BAC,NYSE
VZ,NYSE
ADBE,NASDAQ
PFE,NYSE
INTC,NASDAQ
KO,NYSE
MRK,NYSE
PEP,NASDAQ
T,NYSE
ABT,NYSE
CSCO,NASDAQ
XOM,NYSE
CVX,NYSE
NFLX,NASDAQ
CRM,NYSE
ACN,NYSE
AVGO,NASDAQ
LLY,NYSE
COST,NYSE
DHR,NYSE
TXN,NASDAQ
NEE,NYSE
NKE,NYSE
MDT,NYSE
QCOM,NASDAQ
LIN,NYSE
HON,NYSE
WFC,NYSE
UPS,NYSE
PM,NYSE
MS,NYSE
IBM,NYSE
ORCL,NYSE
AMGN,NASDAQ
GS,NYSE
TMO,NYSE
SBUX,NASDAQ
BA,NYSE
NOW,NASDAQ
BLK,NYSE
LOW,NYSE
AMT,NYSE
INTU,NASDAQ
RTX,NYSE
CAT,NYSE
DE,NYSE
SPGI,NYSE
GILD,NYSE
ISRG,NASDAQ
ZTS,NYSE
MO,NYSE
PLD,NYSE
MDLZ,NASDAQ
SYK,NYSE
MMC,NYSE
ADI,NASDAQ
CI,NYSE
EL,NYSE
CB,NYSE
LRCX,NASDAQ
GE,NYSE
ETN,NYSE
FISV,NYSE
APD,NYSE
ICE,NYSE
EW,NYSE
PSA,NYSE
FDX,NYSE
IDXX,NASDAQ
VRTX,NASDAQ
ROP,NYSE
